gene_token	count_4	count_8	count_total	diff_4_minus_8	perm_p	gene_span	lambda	poisson_p	perm_fdr	poisson_fdr	significant_perm	significant_poisson	significant_any
CyHV3_ORF1_1	2	2	4	0	9.999000099990002e-5	1	1.684782608695652	0.09092638869191566	6.499350064993501e-4	0.8130794236508956	TRUE	FALSE	TRUE
CyHV3_ORF75	2	0	2	2	9.999000099990002e-5	1	1.684782608695652	0.5020137680949718	6.499350064993501e-4	0.920472462877634	TRUE	FALSE	TRUE
CyHV3_ORF88	2	0	2	2	9.999000099990002e-5	2	3.369565217391304	0.8496668888101238	6.499350064993501e-4	0.920472462877634	TRUE	FALSE	TRUE
CyHV3_ORF154	0	1	1	-1	9.999000099990002e-5	1	1.684782608695652	0.8145152496548074	6.499350064993501e-4	0.920472462877634	TRUE	FALSE	TRUE
CyHV3_ORF31	1	0	1	1	9.999000099990002e-5	1	1.684782608695652	0.8145152496548074	6.499350064993501e-4	0.920472462877634	TRUE	FALSE	TRUE
CyHV3_ORF86	1	0	1	1	9.999000099990002e-5	1	1.684782608695652	0.8145152496548074	6.499350064993501e-4	0.920472462877634	TRUE	FALSE	TRUE
CyHV3_ORF8_1	7	5	12	2	0.8255174482551745	5	8.42391304347826	0.14492075587272163	1	0.8130794236508956	FALSE	FALSE	FALSE
CyHV3_ORF5_1	5	6	11	-1	1	4	6.739130434782608	0.08104111747367673	1	0.8130794236508956	FALSE	FALSE	FALSE
CyHV3_ORF6_1	5	6	11	-1	1	4	6.739130434782608	0.08104111747367673	1	0.8130794236508956	FALSE	FALSE	FALSE
CyHV3_ORF7_1	5	4	9	1	0.5831416858314169	4	6.739130434782608	0.237585489699569	1	0.8130794236508956	FALSE	FALSE	FALSE
CyHV3_ORF68	4	3	7	1	1	3	5.054347826086956	0.2458058339342036	1	0.8130794236508956	FALSE	FALSE	FALSE
CyHV3_ORF69	4	3	7	1	1	3	5.054347826086956	0.2458058339342036	1	0.8130794236508956	FALSE	FALSE	FALSE
CyHV3_ORF70	5	2	7	3	0.5266473352664733	3	5.054347826086956	0.2458058339342036	1	0.8130794236508956	FALSE	FALSE	FALSE
CyHV3_ORF71	5	2	7	3	1	3	5.054347826086956	0.2458058339342036	1	0.8130794236508956	FALSE	FALSE	FALSE
CyHV3_ORF9	3	4	7	-1	1	3	5.054347826086956	0.2458058339342036	1	0.8130794236508956	FALSE	FALSE	FALSE
CyHV3_ORF3_1	1	4	5	-3	0.42855714428557146	2	3.369565217391304	0.25017828420027555	1	0.8130794236508956	FALSE	FALSE	FALSE
CyHV3_ORF72	2	1	3	1	0.2780721927807219	1	1.684782608695652	0.23876523743315398	1	0.8130794236508956	FALSE	FALSE	FALSE
CyHV3_ORF10	7	1	8	6	0.7662233776622338	5	8.42391304347826	0.6044903099578148	1	0.920472462877634	FALSE	FALSE	FALSE
CyHV3_ORF155	1	4	5	-3	1	3	5.054347826086956	0.5689906037933894	1	0.920472462877634	FALSE	FALSE	FALSE
CyHV3_ORF76	4	0	4	4	0.6554344565543445	2	3.369565217391304	0.4349777212552248	1	0.920472462877634	FALSE	FALSE	FALSE
CyHV3_ORF25	2	0	2	2	0.5243475652434757	2	3.369565217391304	0.8496668888101238	1	0.920472462877634	FALSE	FALSE	FALSE
CyHV3_ORF30	2	0	2	2	0.51994800519948	2	3.369565217391304	0.8496668888101238	1	0.920472462877634	FALSE	FALSE	FALSE
CyHV3_ORF74	2	0	2	2	0.5208479152084792	1	1.684782608695652	0.5020137680949718	1	0.920472462877634	FALSE	FALSE	FALSE
CyHV3_ORF87	2	0	2	2	0.518048195180482	2	3.369565217391304	0.8496668888101238	1	0.920472462877634	FALSE	FALSE	FALSE
CyHV3_ORF91	2	0	2	2	0.5225477452254774	2	3.369565217391304	0.8496668888101238	1	0.920472462877634	FALSE	FALSE	FALSE
CyHV3_ORF92	2	0	2	2	0.5225477452254774	2	3.369565217391304	0.8496668888101238	1	0.920472462877634	FALSE	FALSE	FALSE
CyHV3_ORF101	1	0	1	1	1	1	1.684782608695652	0.8145152496548074	1	0.920472462877634	FALSE	FALSE	FALSE
CyHV3_ORF102	1	0	1	1	1	1	1.684782608695652	0.8145152496548074	1	0.920472462877634	FALSE	FALSE	FALSE
CyHV3_ORF18	1	0	1	1	1	1	1.684782608695652	0.8145152496548074	1	0.920472462877634	FALSE	FALSE	FALSE
CyHV3_ORF26	1	0	1	1	1	1	1.684782608695652	0.8145152496548074	1	0.920472462877634	FALSE	FALSE	FALSE
CyHV3_ORF27	1	0	1	1	1	1	1.684782608695652	0.8145152496548074	1	0.920472462877634	FALSE	FALSE	FALSE
CyHV3_ORF79	1	0	1	1	1	1	1.684782608695652	0.8145152496548074	1	0.920472462877634	FALSE	FALSE	FALSE
CyHV3_ORF82	1	0	1	1	1	1	1.684782608695652	0.8145152496548074	1	0.920472462877634	FALSE	FALSE	FALSE
CyHV3_ORF83	1	0	1	1	1	1	1.684782608695652	0.8145152496548074	1	0.920472462877634	FALSE	FALSE	FALSE
CyHV3_ORF90	1	0	1	1	1	1	1.684782608695652	0.8145152496548074	1	0.920472462877634	FALSE	FALSE	FALSE
CyHV3_ORF99	1	0	1	1	1	1	1.684782608695652	0.8145152496548074	1	0.920472462877634	FALSE	FALSE	FALSE
CyHV3_ORF42	3	0	3	3	0.2773722627737226	3	5.054347826086956	0.8798513881641751	1	0.9274109226595358	FALSE	FALSE	FALSE
CyHV3_ORF33	5	0	5	5	0.42395760423957607	5	8.42391304347826	0.9222002478367626	1	0.9464686754114143	FALSE	FALSE	FALSE
CyHV3_ORF89	11	0	11	11	0.6393360663933607	11	18.532608695652176	0.9767310487383534	1	0.9767310487383534	FALSE	FALSE	FALSE
