gene_token	condition_group	dN	dS	dnds	log2_dnds
CyHV3_ORF89	froid	20	2	8.2	3.035623909730721
CyHV3_ORF89	chaud	17	2	7	2.807354922057604
CyHV3_ORF89	overall	37	4	8.333333333333334	3.0588936890535687
CyHV3_ORF64	froid	20	11	1.7826086956521738	0.8339900485610707
CyHV3_ORF64	chaud	23	13	1.7407407407407407	0.7997013495141688
CyHV3_ORF64	overall	43	24	1.7755102040816326	0.82823365173352
CyHV3_ORF86	froid	2	0	5	2.321928094887362
CyHV3_ORF86	chaud	2	0	5	2.321928094887362
CyHV3_ORF86	overall	4	0	9	3.169925001442312
CyHV3_ORF31	froid	0	0	1	0
CyHV3_ORF31	chaud	0	0	1	0
CyHV3_ORF31	overall	0	0	1	0
CyHV3_ORF154	froid	0	0	1	0
CyHV3_ORF154	chaud	1	0	3	1.584962500721156
CyHV3_ORF154	overall	1	0	3	1.584962500721156
CyHV3_ORF88	froid	0	6	0.07692307692307693	-3.700439718141092
CyHV3_ORF88	chaud	0	6	0.07692307692307693	-3.700439718141092
CyHV3_ORF88	overall	0	12	0.04	-4.643856189774724
CyHV3_ORF75	froid	0	0	1	0
CyHV3_ORF75	chaud	0	0	1	0
CyHV3_ORF75	overall	0	0	1	0
CyHV3_ORF1_1	froid	2	0	5	2.321928094887362
CyHV3_ORF1_1	chaud	2	0	5	2.321928094887362
CyHV3_ORF1_1	overall	4	0	9	3.169925001442312
